date,rawContent,processed_content,tokenized_content
2023-03-23 15:46:29+00:00,I'd still say all seasons except season 8,id still say season except season 8,"['id', 'still', 'say', 'season', 'except', 'season', '8']"
2023-03-14 23:13:15+00:00,la cuarta y la sexta sí o sí,la cuarta la sexta sí sí,"['la', 'cuarta', 'la', 'sexta', 'sí', 'sí']"
2023-03-13 16:18:20+00:00,Season 4 &amp; 6,season 4 amp 6,"['season', '4', 'amp', '6']"
2023-03-12 17:32:58+00:00,"1,3 e 4 o resto é trash",13 e 4 resto é trash,"['13', 'e', '4', 'resto', 'é', 'trash']"
2023-03-12 14:47:37+00:00,O poster da segunda e da sétima é putaria,poster da segunda e da sétima é putaria,"['poster', 'da', 'segunda', 'e', 'da', 'sétima', 'é', 'putaria']"
2023-03-11 15:24:49+00:00,S4 is the best season,s4 best season,"['s4', 'best', 'season']"
2023-03-10 12:01:15+00:00,"Season 1 to season 4🌟🌟 , a 100 times(tho I've watched only once😔)!!! fcking peak fiction, unparalleled, undefeated🔥🔥🔥",season 1 season 4 100 timestho ive watch fcking peak fiction unparallel undef,"['season', '1', 'season', '4', '100', 'timestho', 'ive', 'watch', 'fcking', 'peak', 'fiction', 'unparallel', 'undef']"
2023-03-09 14:54:56+00:00,1-5,15,['15']
2023-03-09 02:08:07+00:00,season 4,season 4,"['season', '4']"
2023-03-08 15:48:22+00:00,"Season 4 
Season 6
Season 3
Season 2
Season 1
Season 5
Season 7 tho aapesaru 8 kuda teesi unte bagunnu",season 4 season 6 season 3 season 2 season 1 season 5 season 7 tho aapesaru 8 kuda teesi unt bagunnu,"['season', '4', 'season', '6', 'season', '3', 'season', '2', 'season', '1', 'season', '5', 'season', '7', 'tho', 'aapesaru', '8', 'kuda', 'teesi', 'unt', 'bagunnu']"
2023-03-08 03:09:31+00:00,Alla'Dem!,alladem,['alladem']
2023-03-07 10:48:11+00:00,T7,t7,['t7']
2023-03-07 10:21:03+00:00,Season 3 without question,season 3 without question,"['season', '3', 'without', 'question']"
2023-03-07 10:20:50+00:00,Season 3-4,season 34,"['season', '34']"
2023-03-07 10:03:25+00:00,3-4-5-6 aucune saison de série ne fera mieux dans l'histoire de l'humanité,3456 aucun saison de série ne fera mieux dan lhistoir de lhumanité,"['3456', 'aucun', 'saison', 'de', 'série', 'ne', 'fera', 'mieux', 'dan', 'lhistoir', 'de', 'lhumanité']"
2023-03-07 08:19:14+00:00,1-7,17,['17']
2023-03-07 02:08:08+00:00,season 6 imo,season 6 imo,"['season', '6', 'imo']"
